"tanggal,water_level"
"2020-03-05,1710"
"2020-03-05,1630"
"2020-03-05,1610"
"2020-03-05,1390"
"2020-03-05,1310"
"2020-03-05,1270"
"2020-03-05,1250"
"2020-03-05,1230"
"2020-03-05,1200"
"2020-03-05,1160"
"2020-03-05,1180"
"2020-03-05,1150"
"2020-03-05,1130"
"2020-03-05,1110"
"2020-03-05,1130"
"2020-03-05,1140"
"2020-03-05,1160"
"2020-03-05,1190"
"2020-03-05,1210"
"2020-03-05,1220"
"2020-03-05,1230"
"2020-03-05,1250"
"2020-03-05,1330"
"2020-03-05,1280"
"2020-03-05,1340"
"2020-03-05,1340"
"2020-03-05,1360"
"2020-03-05,1410"
"2020-03-06,1410"
"2020-03-06,1450"
"2020-03-06,1460"
"2020-03-06,1480"
"2020-03-06,1470"
"2020-03-06,1490"
"2020-03-06,1540"
"2020-03-06,1580"
"2020-03-06,1620"
"2020-03-06,1690"
"2020-03-06,1760"
"2020-03-06,1800"
"2020-03-06,1810"
"2020-03-06,1820"
"2020-03-06,1830"
"2020-03-06,1860"
"2020-03-06,1900"
"2020-03-06,1870"
"2020-03-06,1790"
"2020-03-06,1780"
"2020-03-06,1740"
"2020-03-06,1620"
"2020-03-06,1600"
"2020-03-06,1530"
"2020-03-06,1460"
"2020-03-06,1400"
"2020-03-06,1330"
"2020-03-06,1260"
"2020-03-06,1200"
"2020-03-06,1180"
"2020-03-06,1170"
"2020-03-06,1140"
"2020-03-06,1100"
"2020-03-06,1100"
"2020-03-06,1110"
"2020-03-06,1110"
"2020-03-06,1150"
"2020-03-06,1200"
"2020-03-06,1260"
"2020-03-06,1290"
"2020-03-06,1320"
"2020-03-06,1370"
"2020-03-06,1400"
"2020-03-06,1420"
"2020-03-06,1480"
"2020-03-06,1510"
"2020-03-06,1510"
"2020-03-06,1510"
"2020-03-07,1460"
"2020-03-07,1500"
"2020-03-07,1510"
"2020-03-07,1520"
"2020-03-07,1500"
"2020-03-07,1560"
"2020-03-07,1570"
"2020-03-07,1630"
"2020-03-07,1660"
"2020-03-07,1720"
"2020-03-07,1760"
"2020-03-07,1810"
"2020-03-07,1880"
"2020-03-07,1890"
"2020-03-07,1910"
"2020-03-07,1920"
"2020-03-07,1920"
"2020-03-07,1920"
