"tanggal,water_level"
"2019-03-01,250"
"2019-03-01,180"
"2019-03-01,130"
"2019-03-01,100"
"2019-03-01,120"
"2019-03-01,120"
"2019-03-01,230"
"2019-03-01,170"
"2019-03-01,220"
"2019-03-01,180"
"2019-03-01,230"
"2019-03-01,180"
"2019-03-01,150"
"2019-03-01,150"
"2019-03-01,130"
"2019-03-01,140"
"2019-03-01,100"
"2019-03-01,100"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-04,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,210"
"2019-03-05,280"
"2019-03-05,270"
"2019-03-05,250"
"2019-03-05,240"
"2019-03-05,230"
"2019-03-05,220"
"2019-03-05,220"
"2019-03-05,220"
"2019-03-05,220"
"2019-03-05,210"
"2019-03-05,230"
"2019-03-05,250"
"2019-03-05,290"
"2019-03-05,300"
"2019-03-05,310"
"2019-03-05,280"
"2019-03-05,260"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-07,210"
"2019-03-08,210"
"2019-03-08,210"
"2019-03-08,210"
"2019-03-08,210"
"2019-03-08,210"
"2019-03-08,210"
"2019-03-08,210"
"2019-03-08,210"
"2019-03-08,210"
"2019-03-08,210"
"2019-03-08,210"
"2019-03-08,210"
"2019-03-08,210"
"2019-03-09,210"
"2019-03-09,210"
"2019-03-09,210"
"2019-03-09,210"
"2019-03-09,210"
"2019-03-09,210"
"2019-03-09,210"
"2019-03-09,210"
"2019-03-09,210"
"2019-03-09,210"
"2019-03-09,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-10,210"
"2019-03-11,220"
"2019-03-11,220"
"2019-03-11,220"
"2019-03-11,220"
"2019-03-11,220"
"2019-03-11,220"
"2019-03-11,220"
"2019-03-11,220"
"2019-03-11,220"
"2019-03-11,220"
"2019-03-11,220"
"2019-03-11,220"
"2019-03-11,220"
"2019-03-11,220"
"2019-03-11,220"
"2019-03-12,220"
"2019-03-12,220"
"2019-03-12,220"
"2019-03-12,220"
"2019-03-13,220"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-13,200"
"2019-03-14,200"
"2019-03-14,200"
"2019-03-14,200"
"2019-03-14,200"
"2019-03-14,200"
"2019-03-14,200"
"2019-03-14,200"
"2019-03-14,200"
"2019-03-14,200"
"2019-03-14,200"
"2019-03-14,200"
"2019-03-14,190"
"2019-03-14,190"
"2019-03-14,190"
"2019-03-14,190"
"2019-03-14,190"
"2019-03-14,190"
"2019-03-14,190"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-15,180"
"2019-03-16,180"
"2019-03-16,180"
"2019-03-16,180"
"2019-03-16,180"
"2019-03-16,180"
"2019-03-16,180"
"2019-03-16,180"
"2019-03-16,180"
"2019-03-16,180"
"2019-03-16,180"
"2019-03-16,180"
"2019-03-16,180"
"2019-03-16,180"
"2019-03-16,180"
"2019-03-17,180"
"2019-03-17,180"
"2019-03-17,180"
"2019-03-17,180"
"2019-03-17,180"
"2019-03-17,180"
"2019-03-17,180"
"2019-03-17,180"
"2019-03-17,180"
"2019-03-17,180"
"2019-03-17,180"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-18,190"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-20,220"
"2019-03-21,220"
"2019-03-21,220"
"2019-03-21,220"
"2019-03-21,220"
