"tanggal,water_level"
"2019-03-01,1210"
"2019-03-01,1210"
"2019-03-01,1240"
"2019-03-01,1250"
"2019-03-01,1240"
"2019-03-01,1240"
"2019-03-01,1250"
"2019-03-01,470"
"2019-03-01,1290"
"2019-03-01,1290"
"2019-03-01,1260"
"2019-03-01,1250"
"2019-03-01,1250"
"2019-03-01,1250"
"2019-03-01,1240"
"2019-03-01,1510"
"2019-03-01,1940"
"2019-03-01,2110"
"2019-03-01,2060"
"2019-03-01,2080"
"2019-03-01,2040"
"2019-03-01,1990"
"2019-03-01,1890"
"2019-03-01,1890"
"2019-03-01,1850"
"2019-03-01,1760"
"2019-03-01,1760"
"2019-03-01,1760"
"2019-03-01,1760"
"2019-03-01,1780"
"2019-03-01,1810"
"2019-03-01,1810"
"2019-03-01,1770"
"2019-03-01,1770"
"2019-03-01,1740"
"2019-03-01,1720"
"2019-03-01,1630"
"2019-03-01,1670"
"2019-03-01,1670"
"2019-03-01,1590"
"2019-03-01,1610"
"2019-03-01,1520"
"2019-03-01,1560"
"2019-03-01,1480"
"2019-03-01,1500"
"2019-03-01,1430"
"2019-03-01,1450"
"2019-03-01,1420"
"2019-03-01,1400"
"2019-03-01,1410"
"2019-03-01,1410"
"2019-03-01,1370"
"2019-03-01,1360"
"2019-03-01,1360"
"2019-03-01,1360"
"2019-03-01,1340"
"2019-03-01,1320"
"2019-03-01,1320"
"2019-03-01,1320"
"2019-03-01,1320"
"2019-03-01,1290"
"2019-03-01,1300"
"2019-03-01,1260"
"2019-03-01,1260"
"2019-03-01,1280"
"2019-03-01,1280"
"2019-03-01,1270"
"2019-03-01,1270"
"2019-03-01,1270"
"2019-03-01,1260"
"2019-03-01,1260"
"2019-03-01,1260"
"2019-03-01,1260"
"2019-03-01,1250"
"2019-03-01,1250"
"2019-03-01,1240"
"2019-03-01,1230"
"2019-03-01,1230"
"2019-03-01,1230"
"2019-03-01,1220"
"2019-03-01,1220"
"2019-03-01,1220"
"2019-03-01,1220"
"2019-03-01,1220"
"2019-03-01,1200"
"2019-03-01,1200"
"2019-03-01,1190"
"2019-03-01,1190"
"2019-03-01,1190"
"2019-03-01,1190"
"2019-03-01,1200"
"2019-03-01,1200"
"2019-03-01,1200"
"2019-03-01,1200"
"2019-03-01,1190"
"2019-03-01,1180"
"2019-03-01,1200"
"2019-03-01,1210"
"2019-03-01,1220"
"2019-03-01,1230"
"2019-03-01,1300"
"2019-03-01,1420"
"2019-03-01,1470"
"2019-03-01,1710"
"2019-03-01,2020"
"2019-03-01,2190"
"2019-03-01,2140"
"2019-03-01,2190"
"2019-03-01,2180"
"2019-03-01,2170"
"2019-03-01,2160"
"2019-03-01,2160"
"2019-03-01,2170"
"2019-03-01,2180"
"2019-03-01,2180"
"2019-03-01,2180"
"2019-03-01,2170"
"2019-03-01,2140"
"2019-03-01,2110"
"2019-03-01,2080"
"2019-03-01,2030"
"2019-03-01,1990"
"2019-03-01,1960"
"2019-03-01,1900"
"2019-03-01,1870"
"2019-03-01,1840"
"2019-03-01,1780"
"2019-03-01,1770"
"2019-03-01,1740"
"2019-03-01,1730"
"2019-03-01,1720"
"2019-03-01,1720"
"2019-03-01,1690"
"2019-03-01,1680"
"2019-03-01,1680"
"2019-03-01,1660"
"2019-03-01,1630"
"2019-03-02,1610"
"2019-03-02,1590"
"2019-03-02,1590"
"2019-03-02,1560"
"2019-03-02,1540"
"2019-03-02,1540"
"2019-03-02,1540"
"2019-03-02,1530"
"2019-03-02,1540"
"2019-03-02,1520"
"2019-03-02,1510"
"2019-03-02,1500"
"2019-03-02,1470"
"2019-03-02,1490"
"2019-03-02,1450"
"2019-03-02,1440"
"2019-03-02,1410"
"2019-03-02,1420"
"2019-03-02,1410"
"2019-03-02,1390"
"2019-03-02,1390"
"2019-03-02,1390"
"2019-03-02,1370"
"2019-03-02,1370"
"2019-03-02,1370"
"2019-03-02,1380"
"2019-03-02,1380"
"2019-03-02,1360"
"2019-03-02,1370"
"2019-03-02,1360"
"2019-03-02,1380"
"2019-03-02,1390"
"2019-03-02,1370"
"2019-03-02,1340"
"2019-03-02,1340"
"2019-03-02,1340"
"2019-03-02,1330"
"2019-03-02,1340"
"2019-03-02,1340"
"2019-03-02,1320"
"2019-03-02,1310"
"2019-03-02,1320"
"2019-03-02,1320"
"2019-03-02,1300"
"2019-03-02,1310"
"2019-03-02,1320"
"2019-03-02,1320"
"2019-03-02,1280"
"2019-03-02,1280"
"2019-03-02,1280"
"2019-03-02,1280"
"2019-03-02,1270"
"2019-03-02,1270"
"2019-03-02,1280"
"2019-03-02,1270"
"2019-03-02,1280"
"2019-03-02,1270"
"2019-03-02,1290"
"2019-03-02,1270"
"2019-03-02,1260"
"2019-03-02,1260"
"2019-03-02,1270"
"2019-03-02,1270"
"2019-03-02,1270"
"2019-03-02,1270"
"2019-03-02,1250"
"2019-03-02,1250"
"2019-03-02,1250"
"2019-03-02,1250"
"2019-03-02,1230"
"2019-03-02,1240"
"2019-03-02,1150"
"2019-03-02,1240"
"2019-03-02,1240"
"2019-03-02,1100"
"2019-03-02,1220"
"2019-03-02,1220"
"2019-03-02,1130"
"2019-03-02,1200"
"2019-03-02,1120"
"2019-03-02,1210"
"2019-03-02,1230"
"2019-03-02,1150"
"2019-03-02,1220"
"2019-03-02,1190"
"2019-03-02,1100"
"2019-03-02,1210"
"2019-03-02,1200"
"2019-03-02,1100"
"2019-03-02,1170"
"2019-03-02,1080"
"2019-03-02,1190"
"2019-03-02,1190"
"2019-03-02,1060"
"2019-03-02,1210"
"2019-03-02,1190"
"2019-03-02,1070"
"2019-03-02,1170"
"2019-03-02,1180"
"2019-03-02,1030"
"2019-03-02,1210"
"2019-03-02,1190"
"2019-03-02,1060"
"2019-03-02,1170"
"2019-03-02,1170"
"2019-03-02,1080"
"2019-03-02,1200"
"2019-03-02,1180"
"2019-03-02,1090"
"2019-03-02,1160"
"2019-03-02,1080"
"2019-03-02,1160"
"2019-03-02,1180"
"2019-03-02,1100"
"2019-03-02,1140"
"2019-03-02,1080"
"2019-03-02,1050"
"2019-03-02,1040"
"2019-03-02,1040"
"2019-03-02,1050"
"2019-03-02,1190"
"2019-03-02,1140"
"2019-03-02,1040"
"2019-03-02,1150"
"2019-03-02,1150"
"2019-03-02,1070"
"2019-03-02,1150"
"2019-03-02,1150"
"2019-03-02,1070"
"2019-03-02,1020"
"2019-03-02,1020"
"2019-03-02,1190"
"2019-03-02,1170"
"2019-03-02,1040"
"2019-03-02,1170"
"2019-03-02,1170"
"2019-03-02,1070"
"2019-03-02,1150"
"2019-03-02,1150"
"2019-03-02,1060"
"2019-03-03,1140"
"2019-03-03,1140"
"2019-03-03,1020"
"2019-03-03,1140"
"2019-03-03,1140"
"2019-03-03,1050"
"2019-03-03,1100"
"2019-03-03,1120"
"2019-03-03,1270"
"2019-03-03,1120"
"2019-03-03,1320"
"2019-03-03,1650"
"2019-03-03,1650"
"2019-03-03,1350"
"2019-03-03,1570"
"2019-03-03,1520"
"2019-03-03,1470"
"2019-03-03,1590"
"2019-03-03,1580"
"2019-03-03,1570"
"2019-03-03,1560"
"2019-03-03,1540"
"2019-03-03,1530"
"2019-03-03,1510"
"2019-03-03,1500"
"2019-03-03,1490"
"2019-03-03,1470"
"2019-03-03,1460"
"2019-03-03,1450"
"2019-03-03,1450"
"2019-03-03,1430"
"2019-03-03,1420"
"2019-03-03,1410"
"2019-03-03,1400"
"2019-03-03,1380"
"2019-03-03,1370"
"2019-03-03,1370"
"2019-03-03,1370"
"2019-03-03,1360"
"2019-03-03,1350"
"2019-03-03,1350"
"2019-03-03,1340"
"2019-03-03,1340"
"2019-03-03,1340"
"2019-03-03,1360"
"2019-03-03,1360"
"2019-03-03,1370"
"2019-03-03,1370"
"2019-03-03,1370"
"2019-03-03,1370"
"2019-03-03,1390"
"2019-03-03,1420"
"2019-03-03,1440"
"2019-03-03,1440"
"2019-03-03,1450"
"2019-03-03,1450"
"2019-03-03,1440"
"2019-03-03,1440"
"2019-03-03,1430"
"2019-03-03,1400"
"2019-03-03,1400"
"2019-03-03,1390"
"2019-03-03,1370"
"2019-03-03,1370"
"2019-03-03,1360"
"2019-03-03,1360"
"2019-03-03,1360"
"2019-03-03,1360"
"2019-03-03,1360"
"2019-03-03,1360"
"2019-03-03,1360"
"2019-03-03,1360"
"2019-03-03,1360"
"2019-03-03,1350"
"2019-03-03,1350"
"2019-03-03,1340"
"2019-03-03,1350"
"2019-03-03,1340"
"2019-03-03,1340"
"2019-03-03,1330"
"2019-03-03,1330"
"2019-03-03,1330"
"2019-03-03,1320"
"2019-03-03,1320"
"2019-03-03,1310"
"2019-03-03,1300"
"2019-03-03,1210"
"2019-03-03,1300"
"2019-03-03,1300"
"2019-03-03,1300"
"2019-03-03,1290"
"2019-03-03,1290"
"2019-03-03,1280"
"2019-03-03,1280"
"2019-03-03,1270"
"2019-03-03,1270"
"2019-03-03,1270"
"2019-03-03,1270"
"2019-03-03,1260"
"2019-03-03,1260"
"2019-03-03,1260"
"2019-03-03,1260"
"2019-03-03,1250"
"2019-03-03,1250"
"2019-03-03,1250"
"2019-03-03,1250"
"2019-03-03,1250"
"2019-03-03,1240"
"2019-03-03,1240"
"2019-03-03,1240"
"2019-03-03,1240"
"2019-03-03,1240"
"2019-03-03,1240"
"2019-03-03,1240"
"2019-03-03,1230"
"2019-03-03,1230"
"2019-03-03,1230"
"2019-03-03,1230"
"2019-03-03,1230"
"2019-03-03,1230"
"2019-03-03,1230"
"2019-03-03,1230"
"2019-03-03,1230"
"2019-03-03,1260"
"2019-03-03,1280"
"2019-03-03,1300"
"2019-03-03,1310"
"2019-03-03,1310"
"2019-03-03,1310"
"2019-03-03,1300"
"2019-03-03,1300"
"2019-03-03,1300"
"2019-03-03,1300"
"2019-03-03,1300"
"2019-03-03,1300"
"2019-03-03,1300"
"2019-03-03,1310"
"2019-03-03,1330"
"2019-03-03,1330"
"2019-03-04,1330"
"2019-03-04,1320"
"2019-03-04,1320"
"2019-03-04,1310"
"2019-03-04,1310"
"2019-03-04,1300"
"2019-03-04,1290"
"2019-03-04,1280"
"2019-03-04,1280"
"2019-03-04,1270"
"2019-03-04,1270"
"2019-03-04,1270"
"2019-03-04,1260"
"2019-03-04,1250"
"2019-03-04,1250"
"2019-03-04,1250"
"2019-03-04,1250"
"2019-03-04,1240"
"2019-03-04,1240"
"2019-03-04,1240"
"2019-03-04,1240"
"2019-03-04,1240"
"2019-03-04,1230"
"2019-03-04,1230"
"2019-03-04,1240"
"2019-03-04,1240"
"2019-03-04,1240"
"2019-03-04,1240"
"2019-03-04,1230"
"2019-03-04,1230"
"2019-03-04,1230"
"2019-03-04,1230"
"2019-03-04,1230"
"2019-03-04,1230"
"2019-03-04,1230"
"2019-03-04,1230"
"2019-03-04,1230"
"2019-03-04,1230"
"2019-03-04,1220"
"2019-03-04,1220"
"2019-03-04,1220"
"2019-03-04,1220"
"2019-03-04,1220"
"2019-03-04,1220"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1200"
"2019-03-04,1210"
"2019-03-04,1200"
"2019-03-04,1200"
"2019-03-04,1200"
"2019-03-04,1200"
"2019-03-04,1200"
"2019-03-04,1200"
"2019-03-04,1190"
"2019-03-04,1190"
"2019-03-04,1200"
"2019-03-04,1200"
"2019-03-04,1200"
"2019-03-04,1200"
"2019-03-04,1200"
"2019-03-04,1190"
"2019-03-04,1190"
"2019-03-04,1190"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1190"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1160"
"2019-03-04,1160"
"2019-03-04,1160"
"2019-03-04,1160"
"2019-03-04,1160"
"2019-03-04,1150"
"2019-03-04,1150"
"2019-03-04,1150"
"2019-03-04,1150"
"2019-03-04,1150"
"2019-03-04,1150"
"2019-03-04,1150"
"2019-03-04,1150"
"2019-03-04,1150"
"2019-03-04,1150"
"2019-03-04,1160"
"2019-03-04,1160"
"2019-03-04,1170"
"2019-03-04,1180"
"2019-03-04,1210"
"2019-03-04,1200"
"2019-03-04,1200"
"2019-03-04,1200"
"2019-03-04,1230"
"2019-03-04,1240"
"2019-03-04,1240"
"2019-03-04,1210"
"2019-03-04,1200"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1210"
"2019-03-04,1190"
"2019-03-04,1180"
"2019-03-04,1190"
"2019-03-04,1200"
"2019-03-04,1170"
"2019-03-04,1170"
"2019-03-04,1170"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1180"
"2019-03-04,1170"
"2019-03-05,1170"
"2019-03-05,1180"
"2019-03-05,1180"
"2019-03-05,1160"
"2019-03-05,1170"
"2019-03-05,1200"
"2019-03-05,1240"
"2019-03-05,1250"
"2019-03-05,1250"
"2019-03-05,1230"
"2019-03-05,1220"
"2019-03-05,1240"
"2019-03-05,1240"
"2019-03-05,1240"
"2019-03-05,1220"
"2019-03-05,1210"
"2019-03-05,1210"
"2019-03-05,1210"
"2019-03-05,1220"
"2019-03-05,1200"
"2019-03-05,1190"
"2019-03-05,1200"
"2019-03-05,1200"
"2019-03-05,1210"
"2019-03-05,1210"
"2019-03-05,1190"
"2019-03-05,1190"
"2019-03-05,1190"
"2019-03-05,1190"
"2019-03-05,1190"
"2019-03-05,1180"
"2019-03-05,1170"
"2019-03-05,1190"
"2019-03-05,1200"
"2019-03-05,1200"
"2019-03-05,1210"
"2019-03-05,1200"
"2019-03-05,1200"
"2019-03-05,1200"
"2019-03-05,1260"
"2019-03-05,1260"
"2019-03-05,1260"
"2019-03-05,1230"
"2019-03-05,1230"
"2019-03-05,1250"
"2019-03-05,1290"
"2019-03-05,1250"
"2019-03-05,1250"
"2019-03-05,1250"
"2019-03-05,1290"
"2019-03-05,1230"
"2019-03-05,1300"
"2019-03-05,1300"
"2019-03-05,1250"
"2019-03-05,1240"
"2019-03-05,1260"
"2019-03-05,1290"
"2019-03-05,1300"
"2019-03-05,1250"
"2019-03-05,1260"
"2019-03-05,1250"
"2019-03-05,1260"
"2019-03-05,1290"
"2019-03-05,1300"
"2019-03-05,1230"
"2019-03-05,1300"
"2019-03-05,1300"
"2019-03-05,1230"
"2019-03-05,1210"
"2019-03-05,1200"
"2019-03-05,1200"
"2019-03-05,1240"
"2019-03-05,1260"
"2019-03-05,1210"
"2019-03-05,1210"
"2019-03-05,1230"
"2019-03-05,1240"
"2019-03-05,1240"
"2019-03-05,1190"
"2019-03-05,1190"
