"tanggal,water_level"
"2019-03-01,200"
"2019-03-01,200"
"2019-03-01,220"
"2019-03-01,250"
"2019-03-01,370"
"2019-03-01,460"
"2019-03-01,490"
"2019-03-01,470"
"2019-03-01,440"
"2019-03-01,400"
"2019-03-01,380"
"2019-03-01,370"
"2019-03-01,370"
"2019-03-01,400"
"2019-03-01,410"
"2019-03-01,400"
"2019-03-01,390"
"2019-03-01,370"
"2019-03-01,360"
"2019-03-01,350"
"2019-03-01,340"
"2019-03-01,330"
"2019-03-01,330"
"2019-03-01,320"
"2019-03-01,310"
"2019-03-01,300"
"2019-03-01,300"
"2019-03-01,290"
"2019-03-01,280"
"2019-03-01,280"
"2019-03-01,270"
"2019-03-01,270"
"2019-03-01,260"
"2019-03-01,250"
"2019-03-01,250"
"2019-03-01,240"
"2019-03-01,240"
"2019-03-01,230"
"2019-03-01,230"
"2019-03-01,230"
"2019-03-01,220"
"2019-03-01,220"
"2019-03-01,210"
"2019-03-01,210"
"2019-03-01,210"
"2019-03-01,210"
"2019-03-01,210"
"2019-03-01,200"
"2019-03-01,200"
"2019-03-01,200"
"2019-03-01,200"
"2019-03-01,200"
"2019-03-01,190"
"2019-03-01,190"
"2019-03-01,190"
"2019-03-01,190"
"2019-03-01,190"
"2019-03-01,180"
"2019-03-01,180"
"2019-03-01,180"
"2019-03-01,180"
"2019-03-01,180"
"2019-03-01,180"
"2019-03-01,170"
"2019-03-01,170"
"2019-03-01,170"
"2019-03-01,170"
"2019-03-01,170"
"2019-03-01,170"
"2019-03-01,170"
"2019-03-01,190"
"2019-03-01,200"
"2019-03-01,200"
"2019-03-01,180"
"2019-03-01,180"
"2019-03-01,190"
"2019-03-01,240"
"2019-03-01,320"
"2019-03-01,670"
"2019-03-01,780"
"2019-03-01,780"
"2019-03-01,750"
"2019-03-01,740"
"2019-03-01,680"
"2019-03-01,660"
"2019-03-01,690"
"2019-03-01,670"
"2019-03-01,660"
"2019-03-01,640"
"2019-03-01,630"
"2019-03-01,610"
"2019-03-01,600"
"2019-03-01,590"
"2019-03-01,590"
"2019-03-01,580"
"2019-03-01,570"
"2019-03-01,540"
"2019-03-01,530"
"2019-03-01,520"
"2019-03-01,500"
"2019-03-01,490"
"2019-03-01,480"
"2019-03-01,460"
"2019-03-01,460"
"2019-03-01,450"
"2019-03-01,450"
"2019-03-01,450"
"2019-03-01,450"
"2019-03-01,450"
"2019-03-01,450"
"2019-03-01,430"
"2019-03-01,430"
"2019-03-01,420"
"2019-03-01,420"
"2019-03-01,420"
"2019-03-01,420"
"2019-03-01,420"
"2019-03-01,410"
"2019-03-01,410"
"2019-03-01,400"
"2019-03-01,390"
"2019-03-01,390"
"2019-03-01,380"
"2019-03-01,370"
"2019-03-01,370"
"2019-03-01,360"
"2019-03-01,360"
"2019-03-01,350"
"2019-03-01,340"
"2019-03-01,340"
"2019-03-01,330"
"2019-03-01,330"
"2019-03-01,330"
"2019-03-01,330"
"2019-03-01,320"
"2019-03-01,320"
"2019-03-02,320"
"2019-03-02,320"
"2019-03-02,310"
"2019-03-02,310"
"2019-03-02,310"
"2019-03-02,300"
"2019-03-02,300"
"2019-03-02,300"
"2019-03-02,300"
"2019-03-02,300"
"2019-03-02,290"
"2019-03-02,290"
"2019-03-02,290"
"2019-03-02,290"
"2019-03-02,290"
"2019-03-02,290"
"2019-03-02,280"
"2019-03-02,280"
"2019-03-02,280"
"2019-03-02,280"
"2019-03-02,280"
"2019-03-02,280"
"2019-03-02,280"
"2019-03-02,270"
"2019-03-02,270"
"2019-03-02,270"
"2019-03-02,270"
"2019-03-02,270"
"2019-03-02,270"
"2019-03-02,260"
"2019-03-02,260"
"2019-03-02,260"
"2019-03-02,260"
"2019-03-02,260"
"2019-03-02,260"
"2019-03-02,260"
"2019-03-02,260"
"2019-03-02,260"
"2019-03-02,260"
"2019-03-02,260"
"2019-03-02,260"
"2019-03-02,250"
"2019-03-02,250"
"2019-03-02,240"
"2019-03-02,240"
"2019-03-02,230"
"2019-03-02,220"
"2019-03-02,220"
"2019-03-02,220"
"2019-03-02,220"
"2019-03-02,210"
"2019-03-02,210"
"2019-03-02,210"
"2019-03-02,210"
"2019-03-02,210"
"2019-03-02,210"
"2019-03-02,210"
"2019-03-02,210"
"2019-03-02,210"
"2019-03-02,200"
"2019-03-02,200"
"2019-03-02,200"
"2019-03-02,200"
"2019-03-02,200"
"2019-03-02,200"
"2019-03-02,200"
"2019-03-02,200"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,190"
"2019-03-02,180"
"2019-03-02,180"
"2019-03-02,180"
"2019-03-02,180"
"2019-03-02,180"
"2019-03-02,180"
"2019-03-02,180"
"2019-03-02,180"
"2019-03-02,180"
"2019-03-02,180"
"2019-03-02,180"
"2019-03-02,180"
"2019-03-02,180"
"2019-03-02,180"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,170"
"2019-03-02,190"
"2019-03-02,310"
"2019-03-02,670"
"2019-03-02,690"
"2019-03-02,670"
"2019-03-02,670"
"2019-03-02,670"
"2019-03-02,630"
"2019-03-02,620"
"2019-03-02,610"
"2019-03-02,590"
"2019-03-02,580"
"2019-03-02,560"
"2019-03-02,550"
"2019-03-02,540"
"2019-03-02,520"
"2019-03-02,510"
"2019-03-02,490"
"2019-03-02,480"
"2019-03-02,470"
"2019-03-02,450"
"2019-03-03,440"
"2019-03-03,430"
"2019-03-03,420"
"2019-03-03,410"
"2019-03-03,400"
"2019-03-03,390"
"2019-03-03,380"
"2019-03-03,370"
"2019-03-03,360"
"2019-03-03,360"
"2019-03-03,350"
"2019-03-03,340"
"2019-03-03,340"
"2019-03-03,330"
"2019-03-03,330"
"2019-03-03,330"
"2019-03-03,320"
"2019-03-03,320"
"2019-03-03,320"
"2019-03-03,310"
"2019-03-03,310"
"2019-03-03,310"
"2019-03-03,300"
"2019-03-03,300"
"2019-03-03,300"
"2019-03-03,300"
"2019-03-03,290"
"2019-03-03,290"
"2019-03-03,290"
"2019-03-03,290"
"2019-03-03,290"
"2019-03-03,280"
"2019-03-03,280"
"2019-03-03,280"
"2019-03-03,280"
"2019-03-03,280"
"2019-03-03,270"
"2019-03-03,270"
"2019-03-03,270"
"2019-03-03,270"
"2019-03-03,270"
"2019-03-03,270"
"2019-03-03,260"
"2019-03-03,260"
"2019-03-03,260"
"2019-03-03,260"
"2019-03-03,260"
"2019-03-03,260"
"2019-03-03,260"
"2019-03-03,260"
"2019-03-03,260"
"2019-03-03,250"
"2019-03-03,250"
"2019-03-03,250"
"2019-03-03,240"
"2019-03-03,240"
"2019-03-03,240"
"2019-03-03,240"
"2019-03-03,270"
"2019-03-03,250"
"2019-03-03,240"
"2019-03-03,240"
"2019-03-03,240"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,280"
"2019-03-03,220"
"2019-03-03,230"
"2019-03-03,240"
"2019-03-03,250"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,210"
"2019-03-03,210"
"2019-03-03,210"
"2019-03-03,210"
"2019-03-03,210"
"2019-03-03,210"
"2019-03-03,210"
"2019-03-03,210"
"2019-03-03,210"
"2019-03-03,200"
"2019-03-03,200"
"2019-03-03,200"
"2019-03-03,200"
"2019-03-03,200"
"2019-03-03,200"
"2019-03-03,210"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,240"
"2019-03-03,250"
"2019-03-03,260"
"2019-03-03,260"
"2019-03-03,270"
"2019-03-03,270"
"2019-03-03,270"
"2019-03-03,260"
"2019-03-03,260"
"2019-03-03,250"
"2019-03-03,250"
"2019-03-03,250"
"2019-03-03,240"
"2019-03-03,240"
"2019-03-03,240"
"2019-03-03,240"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,230"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,220"
"2019-03-03,210"
"2019-03-03,210"
"2019-03-03,210"
"2019-03-03,210"
"2019-03-03,210"
"2019-03-03,210"
"2019-03-03,200"
"2019-03-03,200"
"2019-03-03,200"
"2019-03-04,210"
"2019-03-04,200"
"2019-03-04,200"
"2019-03-04,200"
"2019-03-04,200"
"2019-03-04,200"
"2019-03-04,200"
"2019-03-04,200"
"2019-03-04,200"
"2019-03-04,200"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,190"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,190"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,180"
"2019-03-04,180"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,170"
"2019-03-04,180"
"2019-03-04,330"
"2019-03-04,320"
